Species,Genus,Sub-family,Family,Order
europaeus,Lepus,,,
hainanus,Lepus,,,
mandshuricus,Lepus,,,
sinensis,Lepus,,,
timidus,Lepus,,,
tolai,Lepus,,,
acutus,Leucopleurus,,,
carcinophaga,Lobodon,,,
carcinophagus,Lobodon,,,
brasiliense,Lophostoma,,,
carrikeri,Lophostoma,,,
schulzi,Lophostoma,,,
silvicolum,Lophostoma,,,
lutra,Lutra,,,
sechurae,Lycalopex,,,
canadensis,Lynx,,,
lynx,Lynx,,,
pardinus,Lynx,,,
rufus,Lynx,,,
fascicularis,Macaca,,,
mulatta,Macaca,,,
nemestrina,Macaca,,,
minimus,Macroglossus,,,
sobrinus,Macroglossus,,,
macrophyllum,Macrophyllum,,,
kirkii,Madoqua,,,
saltiana,Madoqua,,,
crassicaudata,Manis,,,
gigantea,Manis,,,
javanica,Manis,,,
mysteria,Manis,,,
pentadactyla,Manis,,,
tetradactyla,Manis,,,
tricuspis,Manis,,,
baibacina,Marmota,,,
flaviventris,Marmota,,,
marmota,Marmota,,,
monax,Marmota,,,
sibirica,Marmota,,,
foina,Martes,,,
martes,Martes,,,
melampus,Martes,,,
pennanti,Martes,,,
zibellina,Martes,,,
angolensis,Mastomys,,,
coucha,Mastomys,,,
erythroleucus,Mastomys,,,
hildebrandtii,Mastomys,,,
kollmannspergeri,Mastomys,,,
bartelsii,Maxomys,,,
dollmani,Maxomys,,,
hellwaldii,Maxomys,,,
hylomyoides,Maxomys,,,
musschenbroekii,Maxomys,,,
surifer,Maxomys,,,
wattsi,Maxomys,,,
whiteheadi,Maxomys,,,
americana,Mazama,,,
chunyi,Mazama,,,
gouazoupira,Mazama,,,
nemorivaga,Mazama,,,
rufina,Mazama,,,
temama,Mazama,,,
,Megaloceros,,,
azagnyi,Megaloglossus,,,
woermanni,Megaloglossus,,,
anakuma,Meles,,,
meles,Meles,,,
mephitis,Mephitis,,,
tamariscinus,Meriones,,,
tristrami,Meriones,,,
unguiculatus,Meriones,,,
hispidus,Mesomys,,,
stimulax,Mesomys,,,
macconnelli,Mesophylla,,,
europaeus,Mesoplodon,,,
ginkgodens,Mesoplodon,,,
grayi,Mesoplodon,,,
mirus,Mesoplodon,,,
griseorufus,Microcebus,,,
murinus,Microcebus,,,
myoxinus,Microcebus,,,
erythrotis,Micromys,,,
minutus,Micromys,,,
pygmaeus,Micromys,,,
hirsuta,Micronycteris,,,
megalotis,Micronycteris,,,
arvalis,Microtus,,,
daghestanicus,Microtus,,,
ilaeus,Microtus,,,
maximowiczii,Microtus,,,
montanus,Microtus,,,
obscurus,Microtus,,,
ochrogaster,Microtus,,,
oregoni,Microtus,,,
pennsylvanicus,Microtus,,,
pinetorum,Microtus,,,
richardsoni,Microtus,,,
socialis,Microtus,,,
schreibersii,Miniopterus,,,
ogouensis,Miopithecus,,,
trumani,Miracinonyx,,,
angustirostris,Mirounga,,,
leonina,Mirounga,,,
molossus,Molossus,,,
monachus,Monachus,,,
plicatus,Mops,,,
pumilus,Mops,,,
cobourgianus,Mormopterus,,,
loriae,Mormopterus,,,
petersi,Mormopterus,,,
planiceps,Mormopterus,,,
anhuiensis,Moschus,,,
berezovskii,Moschus,,,
chrysogaster,Moschus,,,
cupreus,Moschus,,,
fuscus,Moschus,,,
leucogaster,Moschus,,,
moschiferus,Moschus,,,
apolipoprotein,Mouse,,,
high,Mouse,,,
atherodes,Muntiacus,,,
feae,Muntiacus,,,
gongshanensis,Muntiacus,,,
muntjak,Muntiacus,,,
putaoensis,Muntiacus,,,
reevesi,Muntiacus,,,
vaginalis,Muntiacus,,,
altaica,Mustela,,,
erminea,Mustela,,,
itatsi,Mustela,,,
kathiah,Mustela,,,
lutreola,Mustela,,,
nigripes,Mustela,,,
nivalis,Mustela,,,
putorius,Mustela,,,
richardsonii,Mustela,,,
sibirica,Mustela,,,
vison,Mustela,,,
darwinii,Mylodon,,,
coypus,Myocastor,,,
glareolus,Myodes,,,
rutilus,Myodes,,,
atacamensis,Myotis,,,
aurascens,Myotis,,,
bechsteinii,Myotis,,,
blythii,Myotis,,,
bombinus,Myotis,,,
brandtii,Myotis,,,
californicus,Myotis,,,
daubentonii,Myotis,,,
davidii,Myotis,,,
dominicensis,Myotis,,,
findleyi,Myotis,,,
frater,Myotis,,,
ikonnikovi,Myotis,,,
leibii,Myotis,,,
lucifugus,Myotis,,,
martiniquensis,Myotis,,,
muricola,Myotis,,,
myotis,Myotis,,,
nattereri,Myotis,,,
nigricans,Myotis,,,
occultus,Myotis,,,
pilosus,Myotis,,,
planiceps,Myotis,,,
riparius,Myotis,,,
septentrionalis,Myotis,,,
velifer,Myotis,,,
vivesi,Myotis,,,
yumanensis,Myotis,,,
balearicus,Myotragus,,,
goral,Naemorhedus,,,
griseus,Naemorhedus,,,
binotata,Nandinia,,,
dama,Nanger,,,
granti,Nanger,,,
soemmerringii,Nanger,,,
galili,Nannospalax,,,
leucodon,Nannospalax,,,
nehringi,Nannospalax,,,
turcicus,Nannospalax,,,
veldkampii,Nanonycteris,,,
liaoruii,Neodon,,,
medogensis,Neodon,,,
shergylaensis,Neodon,,,
sikimensis,Neodon,,,
americana,Neoepinnula,,,
felipei,Neogale,,,
vison,Neogale,,,
phocaenoides,Neophocaena,,,
sunameri,Neophocaena,,,
fuscipes,Neotoma,,,
macrotis,Neotoma,,,
batesi,Neotragus,,,
moschatus,Neotragus,,,
hidalgo,Nesiotites,,,
andersoni,Niviventer,,,
confucianus,Niviventer,,,
cremoriventer,Niviventer,,,
excelsior,Niviventer,,,
lotipes,Niviventer,,,
procyonoides,Nyctereutes,,,
femorosaccus,Nyctinomops,,,
macrotis,Nyctinomops,,,
collaris,Ochotona,,,
himalayana,Ochotona,,,
huangensis,Ochotona,,,
nubrica,Ochotona,,,
sikimaria,Ochotona,,,
thibetana,Ochotona,,,
rosmarus,Odobenus,,,
hemionus,Odocoileus,,,
virginianus,Odocoileus,,,
torridus,Onychomys,,,
mizura,Oreoscaptor,,,
beisa,Oryx,,,
dammah,Oryx,,,
gazella,Oryx,,,
banderanus,Osgoodomys,,,
byronia,Otaria,,,
manul,Otocolobus,,,
madagascariensis,Otomops,,,
martiensseni,Otomops,,,
typus,Otomys,,,
aries,Ovis,,,
nivicola,Ovis,,,
feii,Pachytriton,,,
muscorum,Palawanosorex,,,
leo,Panthera,,,
onca,Panthera,,,
pardus,Panthera,,,
tigris,Panthera,,,
griselda,Pantherina,,,
griselda,Parablarinella,,,
schoutedeni,Paracrocidura,,,
hermaphroditus,Paradoxurus,,,
brunnea,Parahyaena,,,
choirocephalus,Paramonacanthus,,,
sulcatus,Paramonacanthus,,,
marmorata,Pardofelis,,,
plumbea,Patagioenas,,,
punctatus,Pattonomys,,,
semivillosus,Pattonomys,,,
tajacu,Pecari,,,
cantorii,Pelochelys,,,
furnessi,Pentalagus,,,
glenii,Perccottus,,,
attwateri,Peromyscus,,,
boylii,Peromyscus,,,
californicus,Peromyscus,,,
crinitus,Peromyscus,,,
eremicus,Peromyscus,,,
fraterculus,Peromyscus,,,
hooperi,Peromyscus,,,
leucopus,Peromyscus,,,
maniculatus,Peromyscus,,,
mayensis,Peromyscus,,,
megalops,Peromyscus,,,
mekisturus,Peromyscus,,,
merriami,Peromyscus,,,
nasutus,Peromyscus,,,
ochraventer,Peromyscus,,,
polionotus,Peromyscus,,,
spicilegus,Peromyscus,,,
stephani,Peromyscus,,,
truei,Peromyscus,,,
alborufus,Petaurista,,,
electromontis,Phaner,,,
parienti,Phaner,,,
intermedius,Phenacomys,,,
fasciata,Phoca,,,
groenlandica,Phoca,,,
largha,Phoca,,,
sibirica,Phoca,,,
vitulina,Phoca,,,
roborovskii,Phodopus,,,
sungorus,Phodopus,,,
erythrurus,Phrynocephalus,,,
theobaldi,Phrynocephalus,,,
blainvillii,Phyllomys,,,
dasythrix,Phyllomys,,,
catodon,Physeter,,,
macrocephalus,Physeter,,,
abramus,Pipistrellus,,,
kuhlii,Pipistrellus,,,
nathusii,Pipistrellus,,,
pipistrellus,Pipistrellus,,,
compressus,Platygonus,,,
lineatus,Platyrrhinus,,,
matapalensis,Platyrrhinus,,,
anchietae,Plerotes,,,
salvania,Porcula,,,
porcus,Potamochoerus,,,
daltoni,Praomys,,,
hartwigi,Praomys,,,
jacksoni,Praomys,,,
morio,Praomys,,,
rostratus,Praomys,,,
bengalensis,Prionailurus,,,
viverrinus,Prionailurus,,,
linsang,Prionodon,,,
cancrivorus,Procyon,,,
lotor,Procyon,,,
cuvieri,Proechimys,,,
echinothrix,Proechimys,,,
gularis,Proechimys,,,
guyannensis,Proechimys,,,
quadruplicatus,Proechimys,,,
roberti,Proechimys,,,
semispinosus,Proechimys,,,
trinitatis,Proechimys,,,
simus,Prolemur,,,
deckenii,Propithecus,,,
diadema,Propithecus,,,
cristata,Proteles,,,
nayaur,Pseudois,,,
schaeferi,Pseudois,,,
atrata,Pteralopex,,,
taki,Pteralopex,,,
parnellii,Pteronotus,,,
personatus,Pteronotus,,,
rubiginosus,Pteronotus,,,
mephistophiles,Pudu,,,
puda,Pudu,,,
caspica,Pusa,,,
hispida,Pusa,,,
sibirica,Pusa,,,
tarandus,Rangifer,,,
melanotis,Raphicerus,,,
sharpei,Raphicerus,,,
argyrotaenia,Rasbora,,,
sumatrana,Rasbora,,,
baluensis,Rattus,,,
exulans,Rattus,,,
hoogerwerfi,Rattus,,,
rattus,Rattus,,,
fulvescens,Reithrodontomys,,,
tenuirostris,Reithrodontomys,,,
unicornis,Rhinoceros,,,
affinis,Rhinolophus,,,
euryale,Rhinolophus,,,
ferrumequinum,Rhinolophus,,,
hipposideros,Rhinolophus,,,
huananus,Rhinolophus,,,
luctus,Rhinolophus,,,
marshalli,Rhinolophus,,,
pearsonii,Rhinolophus,,,
pusillus,Rhinolophus,,,
siamensis,Rhinolophus,,,
sinicus,Rhinolophus,,,
thomasi,Rhinolophus,,,
hardwickei,Rhinopoma,,,
aeneus,Rhogeessa,,,
alleni,Rhogeessa,,,
genowaysi,Rhogeessa,,,
mira,Rhogeessa,,,
parvula,Rhogeessa,,,
opimus,Rhombomys,,,
cirnei,Rhynchocyon,,,
petersi,Rhynchocyon,,,
udzungwensis,Rhynchocyon,,,
diazi,Romerolagus,,,
aegyptiacus,Rousettus,,,
amplexicaudatus,Rousettus,,,
leschenaulti,Rousettus,,,
leschenaultii,Rousettus,,,
madagascariensis,Rousettus,,,
obliviosus,Rousettus,,,
duvaucelii,Rucervus,,,
eldii,Rucervus,,,
pyrenaica,Rupicapra,,,
timorensis,Rusa,,,
unicolor,Rusa,,,
suncoides,Ruwenzorisorex,,,
bilineata,Saccopteryx,,,
leptura,Saccopteryx,,,
tatarica,Saiga,,,
boliviensis,Saimiri,,,
anomalus,Sciurus,,,
arizonensis,Sciurus,,,
carolinensis,Sciurus,,,
colliaei,Sciurus,,,
granatensis,Sciurus,,,
ignitus,Sciurus,,,
nayaritensis,Sciurus,,,
variegatoides,Sciurus,,,
vulgaris,Sciurus,,,
bergmansi,Scotonycteris,,,
zenkeri,Scotonycteris,,,
betpakdalaensis,Selevinia,,,
betulina,Sicista,,,
nebouxii,Simosciurus,,,
stramineus,Simosciurus,,,
pearsoni,Solisorex,,,
alashanicus,Spermophilus,,,
brevicauda,Spermophilus,,,
dauricus,Spermophilus,,,
erythrogenys,Spermophilus,,,
fulvus,Spermophilus,,,
major,Spermophilus,,,
musicus,Spermophilus,,,
pallidicauda,Spermophilus,,,
pygmaeus,Spermophilus,,,
ralli,Spermophilus,,,
relictus,Spermophilus,,,
suslicus,Spermophilus,,,
zygaena,Sphyrna,,,
maculatus,Spilocuscus,,,
angustifrons,Spilogale,,,
gracilis,Spilogale,,,
interrupta,Spilogale,,,
putorius,Spilogale,,,
pygmaea,Spilogale,,,
attenuata,Stenella,,,
longirostris,Stenella,,,
gregalis,Stenocranius,,,
raddei,Stenocranius,,,
bakeri,Sturnira,,,
ludovici,Sturnira,,,
tildae,Sturnira,,,
annandalei,Sundamys,,,
maxi,Sundamys,,,
muelleri,Sundamys,,,
altitudinis,Sundasciurus,,,
hippurus,Sundasciurus,,,
jentinki,Sundasciurus,,,
lowii,Sundasciurus,,,
robinsoni,Sundasciurus,,,
tahan,Sundasciurus,,,
tenuis,Sundasciurus,,,
suricatta,Suricata,,,
andinus,Sylvilagus,,,
aquaticus,Sylvilagus,,,
bachmani,Sylvilagus,,,
brasiliensis,Sylvilagus,,,
floridanus,Sylvilagus,,,
gabbi,Sylvilagus,,,
parentum,Sylvilagus,,,
transitionalis,Sylvilagus,,,
syndactylus,Symphalangus,,,
caffer,Syncerus,,,
australis,Tadarida,,,
brasiliensis,Tadarida,,,
latouchei,Tadarida,,,
teniotis,Tadarida,,,
,Talpidae,,,
canipes,Tamias,,,
quadrivittatus,Tamias,,,
sibiricus,Tamias,,,
maritimus,Tamiops,,,
mcclellandii,Tamiops,,,
rodolphii,Tamiops,,,
swinhoei,Tamiops,,,
bairdii,Tapirus,,,
pinchaque,Tapirus,,,
terrestris,Tapirus,,,
pecari,Tayassu,,,
cynocephalus,Thylacinus,,,
matacus,Tolypeutes,,,
tricinctus,Tolypeutes,,,
bidens,Tonatia,,,
saurophila,Tonatia,,,
rhipidurus,Toromys,,,
cirrhosus,Trachops,,,
angasii,Tragelaphus,,,
buxtoni,Tragelaphus,,,
oryx,Tragelaphus,,,
scriptus,Tragelaphus,,,
strepsiceros,Tragelaphus,,,
javanicus,Tragulus,,,
kanchil,Tragulus,,,
ornatus,Tremarctos,,,
menamena,Triaenops,,,
persicus,Triaenops,,,
vulpecula,Trichosurus,,,
truncatus,Tursiops,,,
chapensis,Typhlomys,,,
cinereus,Typhlomys,,,
fengjiensis,Typhlomys,,,
cinereoargenteus,Urocyon,,,
americanus,Ursus,,,
arctos,Ursus,,,
thibetanus,Ursus,,,
foramena,Vernaya,,,
fulva,Vernaya,,,
meiguites,Vernaya,,,
nushanensis,Vernaya,,,
murinus,Vespertilio,,,
pacos,Vicugna,,,
altiloquus,Vireo,,,
megaspila,Viverra,,,
zibetha,Viverra,,,
indica,Viverricula,,,
ursinus,Vombatus,,,
chama,Vulpes,,,
lagopus,Vulpes,,,
rueppellii,Vulpes,,,
vulpes,Vulpes,,,
zerda,Vulpes,,,
pichiy,Zaedyus,,,
californianus,Zalophus,,,
japonicus,Zalophus,,,
wollebaeki,Zalophus,,,
cavirostris,Ziphius,,,
